#Wavelength (Angstroms)	fnu ergs/s/cm^2/Hz
#redshifted
3468	3.57122547332399e-28
3469.5	3.57042910988367e-28
3471	3.56962736034887e-28
3472.5	3.56882022036104e-28
3474	3.56800768556168e-28
3475.5	3.56718975159226e-28
3477	3.56636641409426e-28
3478.5	3.56553766870916e-28
3480	3.56470351107842e-28
3481.5	3.56386393684353e-28
3483	3.56301894164597e-28
3484.5	3.56216852112722e-28
3486	3.56131267092874e-28
3487.5	3.56045138669202e-28
3489	3.55958466405854e-28
3490.5	3.55871249866977e-28
3492	3.55783488616719e-28
3493.5	3.55695182219228e-28
3495	3.55606330238651e-28
3496.5	3.50239536847188e-28
3498	3.44863139038868e-28
3499.5	3.39477130550285e-28
3501	3.34081505118031e-28
3502.5	3.286762564787e-28
3504	3.23261378368886e-28
3505.5	3.17836864525181e-28
3507	3.1240270868418e-28
3508.5	3.06958904582474e-28
3510	3.01505445956659e-28
3511.5	2.96042326543327e-28
3513	2.90569540079071e-28
3514.5	2.85087080300484e-28
3516	2.79594940944161e-28
3517.5	2.74093115746694e-28
3519	2.68581598444676e-28
3520.5	2.63060382774701e-28
3522	2.57529462473363e-28
3523.5	2.51988831277254e-28
3525	2.46438482922968e-28
3526.5	2.51289210371688e-28
3528	2.56147924874416e-28
3529.5	2.61014631469088e-28
3531	2.6588933519364e-28
3532.5	2.7077204108601e-28
3534	2.75662754184133e-28
3535.5	2.80561479525946e-28
3537	2.85468222149385e-28
3538.5	2.90382987092388e-28
3540	2.9530577939289e-28
3541.5	3.00236604088828e-28
3543	3.05175466218138e-28
3544.5	3.10122370818758e-28
3546	3.15077322928623e-28
3547.5	3.20040327585671e-28
3549	3.25011389827836e-28
3550.5	3.29990514693057e-28
3552	3.34977707219269e-28
3553.5	3.3997297244441e-28
3555	3.44976315406414e-28
3556.5	3.4257071498131e-28
3558	3.40160686822295e-28
3559.5	3.37746228051085e-28
3561	3.35327335789395e-28
3562.5	3.32904007158938e-28
3564	3.3047623928143e-28
3565.5	3.28044029278586e-28
3567	3.25607374272119e-28
3568.5	3.23166271383746e-28
3570	3.2072071773518e-28
3571.5	3.18270710448137e-28
3573	3.1581624664433e-28
3574.5	3.13357323445475e-28
3576	3.10893937973287e-28
3577.5	3.0842608734948e-28
3579	3.05953768695769e-28
3580.5	3.03476979133868e-28
3582	3.00995715785493e-28
3583.5	2.98509975772358e-28
3585	2.96019756216177e-28
3586.5	2.94030584733484e-28
3588	2.92037773850314e-28
3589.5	2.90041321218948e-28
3591	2.88041224491666e-28
3592.5	2.86037481320749e-28
3594	2.84030089358478e-28
3595.5	2.82019046257133e-28
3597	2.80004349668998e-28
3598.5	2.77985997246357e-28
